idx,date,week,day,time,id,step,loc
379,09월 03일,3,1,9:00,아침수업,,신촌
380,09월 03일,3,1,9:30,아침수업,,신촌
381,09월 03일,3,1,10:00,아침수업,,신촌
382,09월 03일,3,1,10:30,아침수업,,신촌
383,09월 03일,3,1,11:00,아침수업,,신촌
384,09월 03일,3,1,11:30,아침수업,,신촌
385,09월 03일,3,1,12:00,아침수업,,신촌
386,09월 03일,3,1,12:30,아침수업,,신촌
387,09월 03일,3,1,13:00,아침수업,,신촌
388,09월 03일,3,1,13:30,아침수업,,신촌
389,09월 03일,3,1,14:00,,,신촌
390,09월 03일,3,1,14:30,,,신촌
391,09월 03일,3,1,15:00,,,신촌
392,09월 03일,3,1,15:30,,,신촌
393,09월 03일,3,1,16:00,,,신촌
394,09월 03일,3,1,16:30,,,신촌
395,09월 03일,3,1,17:00,,,신촌
396,09월 03일,3,1,17:30,,,신촌
397,09월 03일,3,1,18:00,,,신촌
398,09월 03일,3,1,18:30,저녁수업,,신촌
399,09월 03일,3,1,19:00,저녁수업,,신촌
400,09월 03일,3,1,19:30,저녁수업,,신촌
401,09월 03일,3,1,20:00,저녁수업,,신촌
402,09월 03일,3,1,20:30,저녁수업,,신촌
403,09월 03일,3,1,21:00,저녁수업,,신촌
404,09월 03일,3,1,21:30,저녁수업,,신촌
405,09월 03일,3,1,22:00,저녁수업,,신촌
406,09월 04일,3,2,9:00,아침수업,,강남
407,09월 04일,3,2,9:30,아침수업,,강남
408,09월 04일,3,2,10:00,아침수업,,강남
409,09월 04일,3,2,10:30,아침수업,,강남
410,09월 04일,3,2,11:00,아침수업,,강남
411,09월 04일,3,2,11:30,아침수업,,강남
412,09월 04일,3,2,12:00,아침수업,,강남
413,09월 04일,3,2,12:30,아침수업,,강남
414,09월 04일,3,2,13:00,아침수업,,강남
415,09월 04일,3,2,13:30,아침수업,,강남
416,09월 04일,3,2,14:00,,,강남
417,09월 04일,3,2,14:30,,,강남
418,09월 04일,3,2,15:00,,,강남
419,09월 04일,3,2,15:30,,,강남
420,09월 04일,3,2,16:00,,,강남
421,09월 04일,3,2,16:30,,,강남
422,09월 04일,3,2,17:00,,,강남
423,09월 04일,3,2,17:30,,,강남
424,09월 04일,3,2,18:00,,,강남
425,09월 04일,3,2,18:30,저녁수업,,강남
426,09월 04일,3,2,19:00,저녁수업,,강남
427,09월 04일,3,2,19:30,저녁수업,,강남
428,09월 04일,3,2,20:00,저녁수업,,강남
429,09월 04일,3,2,20:30,저녁수업,,강남
430,09월 04일,3,2,21:00,저녁수업,,강남
431,09월 04일,3,2,21:30,저녁수업,,강남
432,09월 04일,3,2,22:00,저녁수업,,강남
433,09월 05일,3,3,9:00,아침수업,,신촌
434,09월 05일,3,3,9:30,아침수업,,신촌
435,09월 05일,3,3,10:00,아침수업,,신촌
436,09월 05일,3,3,10:30,아침수업,,신촌
437,09월 05일,3,3,11:00,아침수업,,신촌
438,09월 05일,3,3,11:30,아침수업,,신촌
439,09월 05일,3,3,12:00,아침수업,,신촌
440,09월 05일,3,3,12:30,아침수업,,신촌
441,09월 05일,3,3,13:00,아침수업,,신촌
442,09월 05일,3,3,13:30,아침수업,,신촌
443,09월 05일,3,3,14:00,,,신촌
444,09월 05일,3,3,14:30,,,신촌
445,09월 05일,3,3,15:00,,,신촌
446,09월 05일,3,3,15:30,,,신촌
447,09월 05일,3,3,16:00,,,신촌
448,09월 05일,3,3,16:30,,,신촌
449,09월 05일,3,3,17:00,,,신촌
450,09월 05일,3,3,17:30,,,신촌
451,09월 05일,3,3,18:00,,,신촌
452,09월 05일,3,3,18:30,저녁수업,,신촌
453,09월 05일,3,3,19:00,저녁수업,,신촌
454,09월 05일,3,3,19:30,저녁수업,,신촌
455,09월 05일,3,3,20:00,저녁수업,,신촌
456,09월 05일,3,3,20:30,저녁수업,,신촌
457,09월 05일,3,3,21:00,저녁수업,,신촌
458,09월 05일,3,3,21:30,저녁수업,,신촌
459,09월 05일,3,3,22:00,저녁수업,,신촌
460,09월 06일,3,4,9:00,아침수업,,강남
461,09월 06일,3,4,9:30,아침수업,,강남
462,09월 06일,3,4,10:00,아침수업,,강남
463,09월 06일,3,4,10:30,아침수업,,강남
464,09월 06일,3,4,11:00,아침수업,,강남
465,09월 06일,3,4,11:30,아침수업,,강남
466,09월 06일,3,4,12:00,아침수업,,강남
467,09월 06일,3,4,12:30,아침수업,,강남
468,09월 06일,3,4,13:00,아침수업,,강남
469,09월 06일,3,4,13:30,아침수업,,강남
470,09월 06일,3,4,14:00,,,강남
471,09월 06일,3,4,14:30,,,강남
472,09월 06일,3,4,15:00,,,강남
473,09월 06일,3,4,15:30,,,강남
474,09월 06일,3,4,16:00,,,강남
475,09월 06일,3,4,16:30,,,강남
476,09월 06일,3,4,17:00,,,강남
477,09월 06일,3,4,17:30,,,강남
478,09월 06일,3,4,18:00,,,강남
479,09월 06일,3,4,18:30,저녁수업,,강남
480,09월 06일,3,4,19:00,저녁수업,,강남
481,09월 06일,3,4,19:30,저녁수업,,강남
482,09월 06일,3,4,20:00,저녁수업,,강남
483,09월 06일,3,4,20:30,저녁수업,,강남
484,09월 06일,3,4,21:00,저녁수업,,강남
485,09월 06일,3,4,21:30,저녁수업,,강남
486,09월 06일,3,4,22:00,저녁수업,,강남
487,09월 07일,3,5,9:00,,,강남
488,09월 07일,3,5,9:30,,,강남
489,09월 07일,3,5,10:00,,,강남
490,09월 07일,3,5,10:30,,,강남
491,09월 07일,3,5,11:00,,,강남
492,09월 07일,3,5,11:30,,,강남
493,09월 07일,3,5,12:00,,,강남
494,09월 07일,3,5,12:30,,,강남
495,09월 07일,3,5,13:00,,,강남
496,09월 07일,3,5,13:30,,,강남
497,09월 07일,3,5,14:00,,,강남
498,09월 07일,3,5,14:30,,,강남
499,09월 07일,3,5,15:00,,,강남
500,09월 07일,3,5,15:30,,,강남
501,09월 07일,3,5,16:00,,,강남
502,09월 07일,3,5,16:30,,,강남
503,09월 07일,3,5,17:00,,,강남
504,09월 07일,3,5,17:30,,,강남
505,09월 07일,3,5,18:00,,,강남
506,09월 07일,3,5,18:30,,,강남
507,09월 07일,3,5,19:00,,,강남
508,09월 07일,3,5,19:30,,,강남
509,09월 07일,3,5,20:00,,,강남
510,09월 07일,3,5,20:30,,,강남
511,09월 07일,3,5,21:00,,,강남
512,09월 07일,3,5,21:30,,,강남
513,09월 07일,3,5,22:00,,,강남
514,09월 08일,3,6,9:00,아침수업,,강남
515,09월 08일,3,6,9:30,아침수업,,강남
516,09월 08일,3,6,10:00,아침수업,,강남
517,09월 08일,3,6,10:30,아침수업,,강남
518,09월 08일,3,6,11:00,아침수업,,강남
519,09월 08일,3,6,11:30,아침수업,,강남
520,09월 08일,3,6,12:00,아침수업,,강남
521,09월 08일,3,6,12:30,아침수업,,강남
522,09월 08일,3,6,13:00,아침수업,,강남
523,09월 08일,3,6,13:30,아침수업,,강남
524,09월 08일,3,6,14:00,,,강남
525,09월 08일,3,6,14:30,,,강남
526,09월 08일,3,6,15:00,,,강남
527,09월 08일,3,6,15:30,,,강남
528,09월 08일,3,6,16:00,,,강남
529,09월 08일,3,6,16:30,,,강남
